Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T00:11:38:425,101051.117,-0.178,52.450,25.620
0000-00-00T00:11:38:495,101051.250,-0.189,52.370,25.610
0000-00-00T00:11:38:566,101051.188,-0.184,52.300,25.620
0000-00-00T00:11:38:636,101050.789,-0.150,52.190,25.620
0000-00-00T00:11:38:706,101050.203,-0.102,52.150,25.610
0000-00-00T00:11:38:779,101050.609,-0.136,52.050,25.630
0000-00-00T00:11:38:850,101049.938,-0.079,51.940,25.620
0000-00-00T00:11:38:920,101048.992,-0.001,51.880,25.610
0000-00-00T00:11:39:000,101047.961,0.085,51.790,25.610
0000-00-00T00:11:39:070,101047.578,0.118,51.690,25.620
0000-00-00T00:11:39:141,101047.664,0.111,51.610,25.610
0000-00-00T00:11:39:211,101049.008,-0.002,51.520,25.610
0000-00-00T00:11:39:281,101049.648,-0.055,51.430,25.620
0000-00-00T00:11:39:351,101048.820,0.014,51.350,25.630
0000-00-00T00:11:39:433,101049.367,-0.031,51.260,25.610
0000-00-00T00:11:39:505,101049.156,-0.014,51.170,25.590
0000-00-00T00:11:39:578,101048.859,0.011,51.040,25.590
0000-00-00T00:11:39:650,101048.438,0.046,50.980,25.620
0000-00-00T00:11:39:722,101048.336,0.054,50.860,25.610
0000-00-00T00:11:39:795,101049.148,-0.013,50.790,25.610
0000-00-00T00:11:39:867,101049.398,-0.034,50.730,25.590
0000-00-00T00:11:39:939,101049.625,-0.053,50.610,25.610
0000-00-00T00:11:40:000,101048.836,0.013,50.530,25.620
0000-00-00T00:11:40:075,101048.234,0.063,50.430,25.620
0000-00-00T00:11:40:148,101048.711,0.023,50.390,25.630
0000-00-00T00:11:40:220,101048.422,0.047,50.280,25.620
0000-00-00T00:11:40:293,101047.695,0.108,50.220,25.630
0000-00-00T00:11:40:365,101047.531,0.121,50.150,25.630
0000-00-00T00:11:40:437,101048.359,0.052,50.130,25.610
0000-00-00T00:11:40:510,101049.086,-0.008,50.020,25.620
0000-00-00T00:11:40:582,101049.461,-0.040,50.000,25.620
0000-00-00T00:11:40:654,101049.625,-0.053,49.920,25.630
0000-00-00T00:11:40:729,101050.734,-0.146,49.920,25.630
0000-00-00T00:11:40:802,101050.703,-0.143,49.830,25.620
0000-00-00T00:11:40:874,101050.922,-0.162,49.760,25.610
0000-00-00T00:11:40:947,101050.328,-0.112,49.690,25.610
0000-00-00T00:11:41:000,101050.508,-0.127,49.550,25.590
0000-00-00T00:11:41:072,101050.406,-0.119,49.450,25.610
0000-00-00T00:11:41:145,101050.953,-0.164,49.390,25.590
0000-00-00T00:11:41:217,101050.234,-0.104,49.330,25.610
0000-00-00T00:11:41:289,101050.039,-0.087,49.270,25.630
0000-00-00T00:11:41:364,101050.812,-0.152,49.170,25.610
0000-00-00T00:11:41:437,101051.930,-0.245,49.150,25.590
